Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.8,-123.19,-90,top
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.54,-64.77,-90,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,62.992,-115.316,0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.732,-56.896,0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.7,-69.342,180,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.96,-127.762,180,top
F1,Polyfuse,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,46.736,-118.11,180,top
F1,Polyfuse,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,125.476,-59.69,180,top
L1,BLM21AG102SN1D,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,129.54,-60.706,90,top
L1,BLM21AG102SN1D,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,50.8,-119.126,90,top
U3,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,137.922,-63.5,180,top
U3,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,59.182,-121.92,180,top
